open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
223.58,224.04,221.91,222.5,36722900.0,224.04,221.91,222.5,223.58,36766619.0,1.0,0.0,AAPL,XNAS,2024-09-13T00:00:00+0000
222.3,223.54,219.82,222.77,37376315.0,223.55,219.82,222.77,222.5,37498225.0,1.0,0.0,AAPL,XNAS,2024-09-12T00:00:00+0000
221.425,223.09,217.89,222.66,43842596.0,223.09,217.89,222.66,221.455,44587072.0,1.0,0.0,AAPL,XNAS,2024-09-11T00:00:00+0000
218.885,221.48,216.73,220.11,51215441.0,221.48,216.73,220.11,218.92,51591033.0,1.0,0.0,AAPL,XNAS,2024-09-10T00:00:00+0000
220.9,221.27,216.72,220.91,66246080.0,221.27,216.71,220.91,220.82,67179965.0,1.0,0.0,AAPL,XNAS,2024-09-09T00:00:00+0000
223.95,225.24,219.77,220.82,48388600.0,225.24,219.77,220.82,223.95,48423011.0,1.0,0.0,AAPL,XNAS,2024-09-06T00:00:00+0000
221.52,225.48,221.52,222.38,35741943.0,225.48,221.52,222.38,221.625,36615398.0,1.0,0.0,AAPL,XNAS,2024-09-05T00:00:00+0000
221.66,221.755,217.48,220.85,43617462.0,221.78,217.48,220.85,221.66,43262758.0,1.0,0.0,AAPL,XNAS,2024-09-04T00:00:00+0000
228.61,229.0,221.17,222.77,48082190.0,229.0,221.17,222.77,228.55,50190574.0,1.0,0.0,AAPL,XNAS,2024-09-03T00:00:00+0000
230.19,230.4,227.48,229.0,52990770.0,230.4,227.48,229.0,230.19,52990770.0,1.0,0.0,AAPL,XNAS,2024-08-30T00:00:00+0000
230.28,232.92,228.88,229.79,51342429.0,232.92,228.88,229.79,230.1,51906297.0,1.0,0.0,AAPL,XNAS,2024-08-29T00:00:00+0000
228.05,229.85,225.6801,226.49,37794932.0,229.86,225.68,226.49,227.92,38052167.0,1.0,0.0,AAPL,XNAS,2024-08-28T00:00:00+0000
226.2101,228.79,224.89,228.03,35851754.0,228.85,224.89,228.03,225.995,35934559.0,1.0,0.0,AAPL,XNAS,2024-08-27T00:00:00+0000
227.21,227.28,223.8905,227.18,29834257.0,227.28,223.8905,227.18,226.76,30602208.0,1.0,0.0,AAPL,XNAS,2024-08-26T00:00:00+0000
225.66,228.22,224.33,226.84,38629400.0,228.22,224.33,226.84,225.6589,38677250.0,1.0,0.0,AAPL,XNAS,2024-08-23T00:00:00+0000
227.6,228.34,223.9,224.53,43434198.0,228.34,223.9,224.53,227.79,43695321.0,1.0,0.0,AAPL,XNAS,2024-08-22T00:00:00+0000
226.49,227.98,225.191,226.4,33246786.0,227.98,225.05,226.4,226.52,34765480.0,1.0,0.0,AAPL,XNAS,2024-08-21T00:00:00+0000
225.77,227.17,225.45,226.51,30241200.0,227.17,225.45,226.51,225.77,30299033.0,1.0,0.0,AAPL,XNAS,2024-08-20T00:00:00+0000
225.72,225.99,223.04,225.89,40639000.0,225.99,223.04,225.89,225.72,40687813.0,1.0,0.0,AAPL,XNAS,2024-08-19T00:00:00+0000
223.92,226.83,223.65,226.05,44289900.0,226.8271,223.6501,226.05,223.92,44340240.0,1.0,0.0,AAPL,XNAS,2024-08-16T00:00:00+0000
224.6,225.35,222.76,224.72,46335300.0,225.35,222.76,224.72,224.6,46414013.0,1.0,0.0,AAPL,XNAS,2024-08-15T00:00:00+0000
220.57,223.03,219.7,221.72,41888500.0,223.03,219.7,221.72,220.57,41960574.0,1.0,0.0,AAPL,XNAS,2024-08-14T00:00:00+0000
219.01,221.89,219.01,221.27,44095400.0,221.89,219.01,221.27,219.01,44155331.0,1.0,0.0,AAPL,XNAS,2024-08-13T00:00:00+0000
216.07,219.51,215.6,217.53,37992400.0,219.5099,215.6,217.53,216.07,38028092.0,1.0,0.25,AAPL,XNAS,2024-08-12T00:00:00+0000
212.1,216.78,211.97,216.24,42171700.0,216.78,211.97,215.99,212.1,42201646.0,1.0,0.0,AAPL,XNAS,2024-08-09T00:00:00+0000
213.11,214.2,208.83,213.31,44598400.0,214.2,208.83,213.31,213.11,47161149.0,1.0,0.0,AAPL,XNAS,2024-08-08T00:00:00+0000
206.9,213.64,206.39,209.82,63402300.0,213.64,206.39,209.82,206.9,63516417.0,1.0,0.0,AAPL,XNAS,2024-08-07T00:00:00+0000
205.39,209.98,201.07,207.23,69353188.0,209.99,201.07,207.23,205.3,69660488.0,1.0,0.0,AAPL,XNAS,2024-08-06T00:00:00+0000
199.14,213.47,196.21,209.27,117397952.0,213.5,196.0,209.27,199.09,119548589.0,1.0,0.0,AAPL,XNAS,2024-08-05T00:00:00+0000
219.15,225.6,217.71,219.86,98480100.0,225.6,217.71,219.86,219.15,105568560.0,1.0,0.0,AAPL,XNAS,2024-08-02T00:00:00+0000
224.37,224.48,217.02,218.36,61877900.0,224.48,217.02,218.36,224.37,62500996.0,1.0,0.0,AAPL,XNAS,2024-08-01T00:00:00+0000
221.44,223.82,220.63,222.08,49901700.0,223.82,220.63,222.08,221.44,50036262.0,1.0,0.0,AAPL,XNAS,2024-07-31T00:00:00+0000
219.19,220.33,216.12,218.8,41518300.0,220.325,216.12,218.8,219.19,41643840.0,1.0,0.0,AAPL,XNAS,2024-07-30T00:00:00+0000
216.96,219.3,215.75,218.24,36261400.0,219.3,215.75,218.24,216.96,36311778.0,1.0,0.0,AAPL,XNAS,2024-07-29T00:00:00+0000
218.7,219.49,216.01,217.96,41580100.0,219.49,216.01,217.96,218.7,41601345.0,1.0,0.0,AAPL,XNAS,2024-07-26T00:00:00+0000
218.93,220.85,214.62,217.49,51328200.0,220.85,214.62,217.49,218.93,51391199.0,1.0,0.0,AAPL,XNAS,2024-07-25T00:00:00+0000
